ID,Unnamed: 0,R_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age
0,0,Henry Cejudo,Marc Goddard,6/8/2019,"Chicago, Illinois, USA",1,TRUE,Bantamweight,5,0,4,0,21.9,16.4,17,11,75,26.5,9.4,6.5,74.2,23.9,0.4,5.3,3.7,1.2,0,101.4,44,0.466,0.1,5.3,1.9,0.458,129.9,69.1,4,2,13.3,8.8,7.5,5.1,90.5,26.8,0.8,0.3,76.1,17.3,0.1,9.4,6.1,0,0,98.8,32.2,0.336,0,0.9,0.1,0.05,110.5,43.3,27,742.6,3,0,2,4,2,0,0,8,Orthodox,162.56,162.56,135,32
1,1,Valentina Shevchenko,Robert Madrigal,6/8/2019,"Chicago, Illinois, USA",1,TRUE,Women's Flyweight,5,0,2,0,12,7.714285714,9.285714286,6.857142857,88.14285714,36.14285714,18.42857143,16.42857143,84.57142857,37,0,19.28571429,14.71428571,1.714285714,0.142857143,115.8571429,59.42857143,0.575714286,0.428571429,5.142857143,2.428571429,0.601428571,161.5714286,102.8571429,2,2,24.57142857,14.14285714,10.57142857,7.857142857,98.57142857,32.57142857,6.428571429,4.285714286,61.85714286,12.42857143,0,29.14285714,18.14285714,1.142857143,0,115.5714286,44.71428571,0.437142857,0.285714286,3.285714286,0.857142857,0.147142857,158.1428571,82.28571429,25,1062,2,0,1,2,0,2,0,5,Southpaw,165.1,167.64,125,31
2,2,Tony Ferguson,Dan Miragliotta,6/8/2019,"Chicago, Illinois, USA",1,FALSE,Lightweight,3,0,11,0,13.86666667,8.666666667,2.866666667,1.733333333,116.1333333,49.46666667,5.333333333,4.266666667,96.73333333,35.6,0.2,13.73333333,11.2,0.333333333,0.133333333,124.3333333,55.46666667,0.43,1,0.933333333,0.4,0.277333333,133,63.4,11,1,14.46666667,8.133333333,2.8,0.733333333,91.06666667,32.2,4.866666667,2.8,78.26666667,23.2,0.266666667,6,4.4,0.333333333,0.133333333,98.73333333,35.73333333,0.34,0.066666667,2.866666667,0.666666667,0.131333333,102.1333333,38.6,33,604.4,2,0,1,3,3,6,1,14,Orthodox,180.34,193.04,155,35
3,3,Jimmie Rivera,Kevin MacDonald,6/8/2019,"Chicago, Illinois, USA",-1,FALSE,Bantamweight,3,1,0,0,18.25,10.25,5.875,4.125,104.875,41,1,0.625,80.5,24,0.375,13,11.5,0.125,0,111.75,45.75,0.36625,0,2.25,0.625,0.10375,117.375,50.75,5,2,20.25,13.375,6.875,5.625,103.125,38.5,0.875,0.75,77.375,20.375,0.125,13.25,11.125,0,0,110.875,44.875,0.44625,0,2.375,0,0,115.125,48.875,20,690.25,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,135,29
4,4,Tai Tuivasa,Dan Miragliotta,6/8/2019,"Chicago, Illinois, USA",-1,FALSE,Heavyweight,3,1,0,0,7.75,6.75,11,7.25,50.75,24.75,0.5,0.5,50.75,22.75,0.5,3.75,3,0.25,0,62.25,32.5,0.545,0,0.5,0,0,63.5,32.75,3,1,6.25,4.75,4.5,3.5,42.75,16.25,7.75,2.75,43.25,14,0.25,5.5,3.75,0.75,0,55,22.5,0.3975,0,1,0,0,60.5,27.75,7,440.75,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264,26
5,5,Tatiana Suarez,Robert Madrigal,6/8/2019,"Chicago, Illinois, USA",1,FALSE,Women's Strawweight,3,0,4,0,8.75,7.5,3,2.25,12.75,4.75,42.25,35.75,44.75,31.25,0,4.5,4,7.75,0,58,42.75,0.6375,0.5,5.5,4.5,0.8175,101.5,80.5,4,0,3,2.25,3.5,3,5.75,2,2,1.5,8,4,0,0.25,0.25,0,0.5,11.25,6.5,0.54,0.75,0.5,0,0,38,26.5,8,540,1,0,0,1,1,2,0,4,,165.1,167.64,115,28
6,6,Aljamain Sterling,Marc Goddard,6/8/2019,"Chicago, Illinois, USA",1,FALSE,Bantamweight,3,0,3,0,25.16666667,18.25,14,11.08333333,72.58333333,29.41666667,16.08333333,11.75,63,23.33333333,0,14.5,10.66666667,1.5,0.083333333,102.6666667,52.25,0.49,0.75,5.333333333,1.75,0.4175,138.3333333,85.75,4,3,8.916666667,4.666666667,5.75,4,51,12.91666667,1.833333333,1.166666667,43.41666667,8.916666667,0.25,6.25,4.5,0.833333333,0.083333333,58.58333333,18.08333333,0.305833333,0.083333333,2.25,1.083333333,0.251666667,80.58333333,37.83333333,32,750.6666667,0,0,0,5,1,3,0,9,Orthodox,170.18,180.34,135,29
7,7,Karolina Kowalkiewicz,Kevin MacDonald,6/8/2019,"Chicago, Illinois, USA",-1,FALSE,Women's Strawweight,3,2,0,0,25.22222222,17.55555556,27.55555556,20.77777778,155.7777778,49.77777778,3.777777778,3,149,46.77777778,0,12.88888889,9.222222222,0.777777778,0.111111111,187.1111111,73.55555556,0.38,0,0.777777778,0.111111111,0.055555556,211.2222222,95,3,4,26.22222222,14.66666667,20.55555556,14.11111111,133.1111111,51.66666667,1.666666667,1.555555556,110.1111111,38.22222222,0.111111111,19,14.44444444,0.555555556,0.111111111,155.3333333,67.33333333,0.414444444,0.222222222,4.777777778,0.777777778,0.271111111,170.7777778,81.88888889,25,800.1111111,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,33
8,8,Ricardo Lamas,Dan Miragliotta,6/8/2019,"Chicago, Illinois, USA",-1,FALSE,Featherweight,3,0,1,0,8.333333333,6.733333333,7.2,6.4,54.26666667,21.2,6.933333333,4.666666667,45.93333333,15.26666667,0.133333333,14.13333333,10.26666667,0.666666667,0.4,68.4,32.26666667,0.478,0.666666667,3.733333333,1.066666667,0.301333333,80,43.53333333,4,5,9,5.8,7.466666667,5.133333333,59.86666667,21.26666667,3.466666667,2.866666667,56.13333333,19.26666667,0.2,5.666666667,4.2,0.933333333,0,70.8,29.26666667,0.402,0.466666667,2,1.133333333,0.38,88.66666667,45.2,34,624.0666667,1,0,0,3,4,3,0,10,Orthodox,172.72,180.34,145,37
9,9,Yan Xiaonan,Robert Madrigal,6/8/2019,"Chicago, Illinois, USA",1,FALSE,Women's Strawweight,3,0,3,0,9.333333333,5.333333333,10.66666667,7.333333333,244.3333333,97.66666667,1.333333333,0.666666667,213.6666667,79,0,33.33333333,21.33333333,0,0,256.3333333,105.6666667,0.403333333,0,0.333333333,0,0,260.6666667,109,3,0,21.33333333,11.33333333,10,6,175.3333333,53,3.666666667,1.666666667,160,42.33333333,0,7.666666667,7,0.666666667,0,189,60.66666667,0.32,0,2,0.666666667,0.11,222,89.66666667,9,900,0,0,0,3,0,0,0,3,Orthodox,165.1,160.02,115,29
